uniprot_id,omim_id
P05129,176980
P17252,176960
Q05655,176977
Q04759,600448
Q02156,176975
P24723,605437
Q05513,176982
O75676,603606
O75582,603607
Q9UBS0,608939
P23443,608938
P51812,300075
Q9UK32,300303
Q15349,601685
Q15418,601684
P31749,164730
P31751,164731
Q9Y243,611223
O14578,605629
Q9Y5S2,614062
Q09013,605377
Q5VT25,603412
Q6DT37,613991
Q15835,180381
Q8WTQ7,606987
P43250,600869
P32298,137026
Q96GX5,608221
Q9NYV4,615514
O60307,612258
Q9Y2H9,612256
O15021,618002
Q6P0Q8,612257
Q9NRM7,604861
Q15208,606964
O15530,605213
P22694,176892
P22612,176893
P17612,601639
Q13237,601591
Q13976,176894
Q16512,601032
Q96S38,617517
Q96BR1,607591
Q9HBY8,607589
Q02763,600221
Q8IWQ3,609236
P48736,601232
O14757,603078
P27448,602678
Q9P0L2,606511
Q7KZI7,600526
Q9UBF8,602758
P42356,600286
Q9H093,608131
P57059,605705
Q9Y2K2,614776
Q9H0K1,608973
Q9NRH2,612760
Q16644,602130
P49137,602006
Q8IW41,606723
Q16566,114080
Q14012,604998
Q8NCB2,614993
Q8IU85,607957
Q6P2M8,300680
Q13554,607707
Q9UQM7,114078
Q13555,602123
Q13557,607708
O14936,300172
Q9UEE5,604726
O43293,603289
P53355,600831
Q9C098,613167
Q8N568,613166
O15075,604742
Q15831,602216
Q9BUB5,606724
Q9H1R3,606566
Q8WZ42,188840
Q15746,600922
Q96RG2,607505
P15735,172471
Q16816,172470
Q86V86,610580
P11309,164960
Q15139,605435
O94806,607077
Q9BZL6,607074
P11801,177015
Q96QS6,620394
O96017,604373
Q9BYT3,607670
Q9BXA6,610712
Q9BXA7,610709
Q96PN8,607660
Q6SA08,610711
Q96RU7,607898
Q92519,609462
Q5VST9,608616
Q15772,615950
O60229,604605
P48730,600864
Q9HCP0,606274
Q9Y6M4,604253
Q6IQ55,611695
Q5TCY1,619415
Q99986,602168
Q86Y07,602169
Q8IV63,619771
Q00537,603440
Q00536,311550
Q07002,169190
O94921,610679
Q8IZL9,610076
P06493,116940
Q15131,603464
P24941,116953
Q00534,603368
Q00535,123831
P50613,601955
P49336,603184
Q9BWU1,614720
P50750,603251
Q14004,603309
Q9UQ88,116951
Q9Y463,604556
Q13627,600855
O43781,603497
Q9NR20,609181
Q92630,603496
Q9H422,604424
Q8NE63,611712
Q13523,602338
P53779,602897
P45984,602896
Q16539,600289
P53778,602399
Q15759,602898
O15264,602899
P28482,176948
P31152,176949
Q13164,602521
Q8TD08,618616
O76039,300203
Q92772,603442
P35790,118491
P68400,115440
P19784,115442
P49761,602990
P49841,605004
P20794,154235
Q9UPZ9,612325
P78362,602980
Q9NSY1,617648
Q2M2I8,616405
O75716,604719
Q6ZWH5,618726
Q8NG66,609779
Q96PY6,604588
P51956,604044
P51955,604043
P51957,601959
Q86SG6,609799
Q8TD19,609798
Q9P2K8,609280
Q9BQI3,613635
Q9NZJ5,604032
O43283,604915
P19525,176871
P53350,602098
Q9NYY3,607023
O00444,605031
Q99558,604655
Q6ZN16,300820
Q9Y6R4,602425
Q12851,603166
Q9Y4K4,604923
O95819,604666
Q9UKE5,610005
Q8N4C8,609426
Q8NEV4,606808
Q8WXR4,610040
Q9H2G2,616563
Q13153,602590
O96013,605451
Q13043,604965
Q13188,605030
Q7RTN6,608626
Q9C0K7,607333
Q7L7X3,610266
Q9H2K8,616711
Q9UL54,613199
Q9Y6E0,604984
P36507,601263
Q02750,176872
P52564,601254
P46734,602315
P45985,601335
O14733,603014
Q6J9G0,611433
P21802,176943
P22607,134934
P22455,134935
P11362,136350
P09619,173410
P16234,173490
P36888,136351
P10721,164920
P35916,136352
P35968,191306
P07333,164770
P17948,165070
P42685,606573
Q9H3Y6,617797
P12931,190090
P07947,164880
P06241,137025
P08631,142370
P06239,153390
P51451,191305
P07948,165120
Q9UM73,105590
P29376,151520
P00519,189980
P42684,164690
Q07912,606994
Q13470,608076
Q12866,604705
P30530,109135
Q13308,601890
P42679,600038
Q16832,191311
Q08345,600408
P00533,131550
P21860,190151
Q15303,600543
P04626,164870
P29323,600997
P29317,176946
P54760,600011
Q5JZY3,611123
P29322,176945
Q15375,602190
O15197,602757
Q9UF33,600066
P54762,600600
P54764,602188
Q14289,601212
Q05397,600758
P07332,190030
P08069,147370
P06213,147670
P29597,176941
P52333,600173
P23458,147795
O60674,147796
Q6ZMQ8,605276
Q96Q04,619624
Q8IWU2,610989
Q04912,600168
P08581,164860
O15146,601296
P07949,164761
Q01974,602337
Q01973,602336
P34925,600524
P08922,165020
P43405,600085
P43403,176947
Q08881,186973
Q06187,300300
P51813,300101
P35590,600222
Q16620,600456
P04629,191315
Q16288,191316
Q9NWZ3,606883
Q9Y616,604459
O43187,603304
Q96D53,615567
P53667,601329
P53671,601988
Q96S53,604746
Q15569,601782
Q59H18,613932
Q13418,602366
Q16584,600050
Q5TCX8,614793
Q02779,600137
P80192,600136
Q9NYL2,609479
Q38SD2,610986
Q5S007,609007
Q6VAB6,610737
Q8IVT5,601132
P04049,164760
P15056,164757
P10398,311010
Q13546,603453
Q8NFD2,608774
P57078,605706
Q9Y572,605817
O43353,603455
P36897,190181
O00238,603248
P36894,601299
P37023,601284
P36896,601300
Q04771,102576
Q13873,600799
P37173,190182
Q16671,600956
Q13705,602730
P27037,102581
Q9H5K3,615247
Q8IWB6,605792
Q8NB16,615153
Q9UQB9,603495
O14965,603072
Q96GD4,604970
Q8N5S9,611411
O00311,603311
P48426,603140
O43683,602452
O60566,602860
Q6XUX3,612666
O15111,600664
O14920,603258
Q9UHD2,604834
Q14164,605048
Q05823,180435
Q8TAS1,608849
P00540,190060
P0C263,620414
Q52WX2,620212
Q9BXM7,608309
Q9Y4A5,603015
Q9H792,614248
Q8TDR2,609370
Q9UHY1,606010
Q9NSY0,615563
Q58A45,617448
Q02846,600179
P25092,601330
Q6P3W7,616365
Q96KG9,607982
Q8IZE3,608192
Q8NE28,618530
Q504Y2,614150
Q8TEA7,616899
Q86UE8,608439
Q96KB5,611210
P33981,604092
Q9NRP7,607652
Q6PHR2,613472
O75385,603168
Q8IYT8,608650
Q99570,602610
Q99640,602474
P0C1S8,614084
P30291,193525
Q9BYP7,300358
Q96J92,601844
Q9H4A3,605232
O00329,602839
Q8NI60,606980
Q9BRS2,617753
Q96S44,608679
Q9HA64,611683
Q86TW2,620399
